,Ticker,Representative,Transaction,Amount,House,State,Party,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,previous_thirty_days,OpenPricePreviousThirtyDays,next_thirty_days,OpenPriceNextThirtyDays,previous_7_day_percent_change,next_7_day_percent_change,previous_30_day_percent_change,Next_12_days_present_percent_change,OpenPrice_spy,previous_seven_days_spy,OpenPricePrevSevenDays_spy,next_seven_days_spy,OpenPriceNextSevenDays_spy,previous_thirty_days_spy,OpenPricePrevThirtyDays_spy,next_thirty_days_spy,OpenPriceNextThirtyDays_spy,prev_7_days_spy_percent_change,next_7_days_spy_percent_change,prev_30_days_spy_percent_change,next_30_days_spy_percent_change
778,SSYS,Tommy Tuberville,Purchase,15001,Senate,Alabama,Republican,"$15,001 - $50,000",12/13/21,25,12/6/21,24.42,12/20/21,23.36,11/13/21,29.64,12/25/21,24.94,0.023751024,-0.0656,-0.156545209,-0.0024,470.19,12/6/21,456.13,12/17/21,461.55,11/12/21,465.12,12/23/21,468.75,0.030824546,-0.01837555,0.010900413,-0.003062592
779,PYPL,Tommy Tuberville,Sale,15001,Senate,Alabama,Republican,"$15,001 - $50,000",12/29/21,190.03,12/22/21,189.16,1/5/22,189.87,11/29/21,188.92,1/10/22,185.75,0.004599281,-0.000841972,0.005875503,-0.02252276,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
780,QQQ,Tommy Tuberville,Purchase,1001,Senate,Alabama,Republican,"$1,001 - $15,000",12/29/21,401.75,12/22/21,388.91,1/5/22,394.74,11/29/21,395.89,1/10/22,374.82,0.033015351,-0.017448662,0.014802091,-0.067031736,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
781,BABA,Tommy Tuberville,Purchase,50001,Senate,Alabama,Republican,"$50,001 - $100,000",12/14/21,120.93,12/7/21,129.3,12/21/21,116.85,11/14/21,134.25,12/26/21,131.99,-0.064733179,-0.033738526,-0.099217877,0.091457868,463.09,12/7/21,464.41,12/20/21,454.48,11/15/21,468.64,12/27/21,472.06,-0.002842316,-0.018592498,-0.011842779,0.019369885
782,BABA,Tommy Tuberville,Purchase,50001,Senate,Alabama,Republican,"$50,001 - $100,000",12/15/21,122.63,12/8/21,123.21,12/22/21,117.09,11/15/21,167.22,12/27/21,117.8,-0.00470741,-0.045176547,-0.266654706,-0.039386773,463.42,12/8/21,468.7,12/21/21,458.61,11/16/21,467.15,12/28/21,477.72,-0.011265202,-0.010379354,-0.007984587,0.030857537
783,ECOM,Tommy Tuberville,Sale,15001,Senate,Alabama,Republican,"$15,001 - $50,000",12/27/21,24.84,12/20/21,23.16,1/3/22,24.71,11/27/21,27.09,1/8/22,24.84,0.07253886,-0.005233494,-0.083056478,0,472.06,12/17/21,461.55,12/31/21,475.64,11/26/21,462.34,1/6/22,467.89,0.022771097,0.007583782,0.021023489,-0.008833623
784,BABA,Tommy Tuberville,Sale,50001,Senate,Alabama,Republican,"$50,001 - $100,000",12/23/21,116.8,12/16/21,122.32,12/30/21,112.63,11/23/21,136.03,1/4/22,119.53,-0.045127534,-0.035702055,-0.141365875,0.023373288,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
785,CLF,Tommy Tuberville,Purchase,1001,Senate,Alabama,Republican,"$1,001 - $15,000",12/23/21,20.09,12/16/21,20.1,12/30/21,20.76,11/23/21,22.82,1/4/22,22,-0.000497512,0.033349925,-0.119631902,0.095072175,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
786,RHP,Bill Hagerty,Sale,15001,Senate,Tennessee,Republican,"$15,001 - $50,000",12/23/21,89.37,12/16/21,80.12,12/30/21,91.9,11/23/21,88.13,1/4/22,93.77,0.115451822,0.028309276,0.014070124,0.049233524,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
787,PNFP,Bill Hagerty,Sale,100001,Senate,Tennessee,Republican,"$100,001 - $250,000",12/29/21,96.12,12/22/21,92.58,1/5/22,100.66,11/29/21,99.62,1/10/22,107.72,0.0382372,0.047232626,-0.035133507,0.12068248,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
