,Ticker,Representative,Transaction,Amount,House,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,next_day,OpenPriceNextDay,next_2_day,OpenPriceNextDay2,next_3_day,OpenPriceNextDay3,next_4_day,OpenPriceNextDay4,next_5_day,OpenPriceNextDay5,next_6_day,OpenPriceNextDay6,next_7_day,OpenPriceNextDay7,next_seven_days_spy,OpenPriceNextSevenDays_spy,Stock_purchase_to_day1_perent_change,Stock_day1_to_day2_perent_change,Stock_day2_to_day3_perent_change,Stock_day3_to_day4_perent_change,Stock_day4_to_day5_perent_change,Stock_day5_to_day6_perent_change,Stock_day6_to_day7_perent_change,SPY_change_purchase_to_7_day
778,SSYS,Tommy Tuberville,Purchase,15001,Senate,"$15,001 - $50,000",12/13/21,25,12/6/21,24.42,12/20/21,23.36,12/14/21,22.87,12/15/21,23.49,12/16/21,24.77,12/17/21,22.76,12/18/21,23.53,12/19/21,24.5,12/20/21,23.36,12/17/21,461.55,-0.0852,0.027109751,0.054491273,-0.081146548,0.033831283,0.041223969,-0.046530612,-0.015738319
779,PYPL,Tommy Tuberville,Sale,15001,Senate,"$15,001 - $50,000",12/29/21,190.03,12/22/21,189.16,1/5/22,189.87,12/30/21,189.61,12/31/21,191.45,1/1/22,194.17,1/2/22,187.01,1/3/22,191.41,1/4/22,196,1/5/22,189.87,1/4/22,479.22,-0.002210177,0.00970413,0.014207365,-0.036874903,0.023528154,0.023979938,-0.03127551,-0.018931611
780,QQQ,Tommy Tuberville,Purchase,1001,Senate,"$1,001 - $15,000",12/29/21,401.75,12/22/21,388.91,1/5/22,394.74,12/30/21,401.33,12/31/21,399.66,1/1/22,398.04,1/2/22,383.33,1/3/22,399.05,1/4/22,402.24,1/5/22,394.74,1/4/22,479.22,-0.001045426,-0.004161164,-0.004053445,-0.036956085,0.041009052,0.007993986,-0.018645585,-0.018931611
781,BABA,Tommy Tuberville,Purchase,50001,Senate,"$50,001 - $100,000",12/14/21,120.93,12/7/21,129.3,12/21/21,116.85,12/15/21,122.63,12/16/21,122.32,12/17/21,119.49,12/18/21,119.49,12/19/21,119.38,12/20/21,118.5,12/21/21,116.85,12/20/21,454.48,0.014057719,-0.00252793,-0.023136037,0,-0.000920579,-0.007371419,-0.013924051,0.012222246
782,BABA,Tommy Tuberville,Purchase,50001,Senate,"$50,001 - $100,000",12/15/21,122.63,12/8/21,123.21,12/22/21,117.09,12/16/21,122.32,12/17/21,119.49,12/18/21,119.49,12/19/21,119.49,12/20/21,118.5,12/21/21,116.85,12/22/21,117.09,12/21/21,458.61,-0.00252793,-0.023136037,0,0,-0.008285212,-0.013924051,0.002053915,0.018643995
783,ECOM,Tommy Tuberville,Sale,15001,Senate,"$15,001 - $50,000",12/27/21,24.84,12/20/21,23.16,1/3/22,24.71,12/28/21,25.13,12/29/21,25.13,12/30/21,25.24,12/31/21,25.05,1/1/22,23.16,1/2/22,23.31,1/3/22,24.71,12/31/21,475.64,0.011674718,0,0.004377238,-0.007527734,-0.075449102,0.006476684,0.06006006,0.010803711
784,BABA,Tommy Tuberville,Sale,50001,Senate,"$50,001 - $100,000",12/23/21,116.8,12/16/21,122.32,12/30/21,112.63,12/24/21,116.26,12/25/21,113.8,12/26/21,112.63,12/27/21,117.8,12/28/21,116.26,12/29/21,113.8,12/30/21,112.63,12/30/21,477.93,-0.004623288,-0.02115947,-0.010281195,0.045902513,-0.013073005,-0.02115947,-0.010281195,0.022336
785,CLF,Tommy Tuberville,Purchase,1001,Senate,"$1,001 - $15,000",12/23/21,20.09,12/16/21,20.1,12/30/21,20.76,12/24/21,20.54,12/25/21,20.93,12/26/21,20.76,12/27/21,20.3,12/28/21,20.54,12/29/21,20.93,12/30/21,20.76,12/30/21,477.93,0.022399204,0.018987342,-0.008122312,-0.022157996,0.01182266,0.018987342,-0.008122312,0.022336
786,RHP,Bill Hagerty,Sale,15001,Senate,"$15,001 - $50,000",12/23/21,89.37,12/16/21,80.12,12/30/21,91.9,12/24/21,89.5,12/25/21,90.15,12/26/21,91.9,12/27/21,88.66,12/28/21,89.5,12/29/21,90.15,12/30/21,91.9,12/30/21,477.93,0.001454627,0.00726257,0.019412091,-0.035255713,0.009474397,0.00726257,0.019412091,0.022336
787,PNFP,Bill Hagerty,Sale,100001,Senate,"$100,001 - $250,000",12/29/21,96.12,12/22/21,92.58,1/5/22,100.66,12/30/21,95.97,12/31/21,95.5,1/1/22,95.97,1/2/22,94.34,1/3/22,96.15,1/4/22,98.69,1/5/22,100.66,1/4/22,479.22,-0.001560549,-0.004897364,0.004921466,-0.016984474,0.019185923,0.026417057,0.019961496,-0.018931611
